day,Boris,Bucket,Chestnut,Chickweed,Clementine,Divebomber,Earhart,Earlybird,Grimace,Hunter,Inkpot,Iris,Kernel,Lazarus,Niblet,Piper,Tiresias,Weddy,Zipper
1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
2,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
3,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
5,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
6,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
7,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
8,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0
9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
10,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0
11,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0
12,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
13,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0
14,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
15,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
16,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0
17,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
18,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
19,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
20,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0
21,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1
22,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
23,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
24,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
25,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
26,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
27,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0
28,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0
29,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
30,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
31,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0
